Sample_Number,Timestamp,Time_Elapsed_s,Temperature_C,Threshold_C,Valid,Checksum
0,2026-01-15T15:49:30.266408,0.000,26.06,35.00,True,e6e43626
1,2026-01-15T15:49:30.389865,0.123,25.60,35.00,True,cad7b1fa
2,2026-01-15T15:49:30.406996,0.141,25.88,35.00,True,5183fce3
3,2026-01-15T15:49:30.551834,0.285,25.90,35.00,True,090122b0
4,2026-01-15T15:49:32.626262,2.360,26.23,35.00,True,383489b1
5,2026-01-15T15:49:34.585203,4.319,26.62,35.00,True,82ce9db8
6,2026-01-15T15:49:36.668381,6.402,26.97,35.00,True,43ea8317
7,2026-01-15T15:49:38.701431,8.435,27.34,35.00,True,0adcc52c
8,2026-01-15T15:49:40.731763,10.465,27.64,35.00,True,5794cdcc
9,2026-01-15T15:49:42.765146,12.499,28.71,35.00,True,82750796
10,2026-01-15T15:49:44.788452,14.522,27.75,35.00,True,00cc4b4d
11,2026-01-15T15:49:46.813626,16.547,27.72,35.00,True,4095471d
12,2026-01-15T15:49:48.848674,18.582,28.17,35.00,True,86dec60f
13,2026-01-15T15:49:50.883323,20.617,27.76,35.00,True,5e1ec134
14,2026-01-15T15:49:52.918231,22.652,27.02,35.00,True,8bf835e3
15,2026-01-15T15:49:54.949317,24.683,27.09,35.00,True,2e54a551
16,2026-01-15T15:49:56.984373,26.718,27.06,35.00,True,01a9ed9d
17,2026-01-15T15:49:59.008975,28.743,26.73,35.00,True,be2274ed
18,2026-01-15T15:50:01.046085,30.780,26.43,35.00,True,a9905474
19,2026-01-15T15:50:03.085166,32.819,26.04,35.00,True,f0ef515a
20,2026-01-15T15:50:05.120771,34.854,25.85,35.00,True,1b82c2b0
21,2026-01-15T15:50:07.145477,36.879,25.11,35.00,True,73229047
22,2026-01-15T15:50:09.173725,38.907,24.40,35.00,True,1bade642

--- Metadata ---
Session_Start,2026-01-15T15:49:30.266408
Total_Samples,23
Sampling_Rate_Hz,0.5
Base_Temperature_C,26
Threshold_C,35
Export_Time,2026-01-15T15:50:36.040278
Total_Alerts,0
